trial,seed,N,T,success,runtime_s,recovered_key,returncode
1,20000004000,4,200000,0,4.715,,1
2,20000004001,4,200000,0,4.402,,1
3,20000004002,4,200000,0,4.344,,1
4,20000004003,4,200000,0,4.750,,1
5,20000004004,4,200000,0,4.550,,1
6,20000004005,4,200000,0,4.539,,1
7,20000004006,4,200000,0,4.833,,1
8,20000004007,4,200000,0,4.496,,1
9,20000004008,4,200000,0,4.571,,1
10,20000004009,4,200000,0,4.906,,1
11,20000004010,4,200000,0,4.503,,1
12,20000004011,4,200000,0,4.662,,1
13,20000004012,4,200000,0,4.889,,1
14,20000004013,4,200000,0,4.626,,1
15,20000004014,4,200000,0,4.654,,1
16,20000004015,4,200000,0,4.765,,1
17,20000004016,4,200000,0,4.798,,1
18,20000004017,4,200000,0,4.864,,1
19,20000004018,4,200000,0,4.854,,1
20,20000004019,4,200000,0,4.615,,1
21,20000004020,4,200000,0,4.929,,1
22,20000004021,4,200000,1,4.729,4F4E4D494B52,0
23,20000004022,4,200000,0,4.958,,1
24,20000004023,4,200000,0,4.770,,1
25,20000004024,4,200000,0,4.518,,1
26,20000004025,4,200000,0,4.668,,1
27,20000004026,4,200000,0,4.602,,1
28,20000004027,4,200000,0,4.709,,1
29,20000004028,4,200000,0,4.683,,1
30,20000004029,4,200000,0,4.819,,1
31,20000004030,4,200000,0,4.765,,1
32,20000004031,4,200000,0,4.667,,1
33,20000004032,4,200000,0,4.796,,1
34,20000004033,4,200000,0,4.674,,1
35,20000004034,4,200000,0,4.680,,1
36,20000004035,4,200000,0,4.662,,1
37,20000004036,4,200000,0,4.621,,1
38,20000004037,4,200000,0,4.557,,1
39,20000004038,4,200000,0,4.556,,1
40,20000004039,4,200000,0,4.643,,1
41,20000004040,4,200000,0,4.712,,1
42,20000004041,4,200000,0,4.701,,1
43,20000004042,4,200000,0,4.767,,1
44,20000004043,4,200000,0,4.767,,1
45,20000004044,4,200000,0,4.706,,1
46,20000004045,4,200000,0,4.555,,1
47,20000004046,4,200000,0,4.675,,1
48,20000004047,4,200000,0,4.768,,1
49,20000004048,4,200000,0,4.582,,1
50,20000004049,4,200000,0,4.849,,1
51,20000006000,6,200000,0,4.863,,1
52,20000006001,6,200000,0,4.870,,1
53,20000006002,6,200000,0,4.760,,1
54,20000006003,6,200000,0,4.807,,1
55,20000006004,6,200000,0,4.600,,1
56,20000006005,6,200000,0,5.044,,1
57,20000006006,6,200000,0,4.774,,1
58,20000006007,6,200000,0,4.668,,1
59,20000006008,6,200000,0,4.672,,1
60,20000006009,6,200000,0,4.887,,1
61,20000006010,6,200000,0,4.843,,1
62,20000006011,6,200000,0,5.054,,1
63,20000006012,6,200000,1,4.801,4F4E4D494B52,0
64,20000006013,6,200000,0,4.921,,1
65,20000006014,6,200000,0,5.045,,1
66,20000006015,6,200000,0,4.785,,1
67,20000006016,6,200000,0,4.991,,1
68,20000006017,6,200000,0,4.911,,1
69,20000006018,6,200000,0,4.766,,1
70,20000006019,6,200000,0,4.813,,1
71,20000006020,6,200000,0,4.644,,1
72,20000006021,6,200000,1,4.749,4F4E4D494B52,0
73,20000006022,6,200000,0,4.756,,1
74,20000006023,6,200000,0,4.790,,1
75,20000006024,6,200000,0,5.039,,1
76,20000006025,6,200000,0,4.926,,1
77,20000006026,6,200000,0,5.068,,1
78,20000006027,6,200000,0,4.764,,1
79,20000006028,6,200000,1,4.617,4F4E4D494B52,0
80,20000006029,6,200000,0,4.939,,1
81,20000006030,6,200000,0,4.847,,1
82,20000006031,6,200000,0,5.053,,1
83,20000006032,6,200000,0,4.885,,1
84,20000006033,6,200000,0,5.001,,1
85,20000006034,6,200000,0,4.750,,1
86,20000006035,6,200000,0,4.951,,1
87,20000006036,6,200000,0,5.020,,1
88,20000006037,6,200000,0,4.626,,1
89,20000006038,6,200000,0,4.991,,1
90,20000006039,6,200000,1,4.467,4F4E4D494B52,0
91,20000006040,6,200000,0,4.923,,1
92,20000006041,6,200000,0,5.262,,1
93,20000006042,6,200000,0,4.793,,1
94,20000006043,6,200000,0,4.821,,1
95,20000006044,6,200000,0,4.731,,1
96,20000006045,6,200000,0,5.155,,1
